year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale date
2008,FORD,TAURUS X,SEL,Hatchback,automatic,1fmdk02w58ga24001,nc,38,69393,beige,tan,augusta metro fcu,4650,5500,Mon Jan 05 2015 01:30:00 GMT-0800 (PST),1/5/2015
2008,FORD,TAURUS,Limited,Sedan,automatic,1fahp25w98g155193,in,28,101239,blue,gray,santander consumer,5500,6200,Thu Jan 08 2015 02:10:00 GMT-0800 (PST),1/8/2015
2008,FORD,TAURUS X,SEL,Hatchback,automatic,1fmdk05wx8ga33708,nc,39,153127,black,beige,crossroads ford of fuquay-varina,2200,3800,Mon Jan 05 2015 01:00:00 GMT-0800 (PST),1/5/2015
2007,FORD,ESCAPE,XLT,SUV,automatic,1fmcu93157kb07470,mo,29,135663,brown,gray,ford-lincoln dealer program,4250,5500,Wed Jan 07 2015 10:00:00 GMT-0800 (PST),1/7/2015
2007,FORD,ESCAPE,Limited,SUV,,1fmyu04157ka49232,tx,24,86798,black,black,david mcdavid honda,7775,6900,Wed Jan 07 2015 10:20:00 GMT-0800 (PST),1/7/2015
2007,FORD,ESCAPE,XLT,SUV,automatic,1fmyu03197ka50059,oh,19,123821,white,tan,dt inventory,4300,500,Thu Jan 29 2015 01:00:00 GMT-0800 (PST),1/29/2015
2007,FORD,EXPLORER SPORT TRAC,XLT,Truck,automatic,1fmeu31k47ua02473,tn,19,145732,black,gray,wells fargo dealer services,7450,5900,Wed Jan 21 2015 02:30:00 GMT-0800 (PST),1/21/2015
2007,FORD,F-150,XLT,Truck,,1ftrw12w57kc68618,nc,28,132741,white,gray,dt credit corporation,8750,7600,Tue Jan 06 2015 01:30:00 GMT-0800 (PST),1/6/2015
2007,FORD,EXPLORER SPORT TRAC,XLT,Truck,automatic,1fmeu51k67ua70334,pa,26,75908,—,tan,adcock brothers inc,11600,11250,Fri Jan 02 2015 09:30:00 GMT-0800 (PST),1/2/2015
2007,FORD,ESCAPE,XLT,SUV,,1fmyu93z17kb37447,pa,27,127640,black,gray,faulkner toyota,4250,2400,Mon Jan 05 2015 04:00:00 GMT-0800 (PST),1/5/2015
2007,FORD,F-350 SUPER DUTY,Lariat,Truck,,1ftww33p77ea74922,in,19,161216,blue,tan,chrysler capital,13700,11700,Thu Jan 08 2015 02:10:00 GMT-0800 (PST),1/8/2015
2007,FORD,ESCAPE,XLS,SUV,automatic,1fmyu02z17ka11988,nc,1,126703,blue,gray,dt inventory,3800,2000,Tue Jan 06 2015 00:30:00 GMT-0800 (PST),1/6/2015
2007,FORD,ECONOLINE CARGO,E-250,Van,automatic,1ftns24w47da38893,pr,34,163820,white,gray,oriental bank,6175,4300,Thu Jan 08 2015 03:30:00 GMT-0800 (PST),1/8/2015
2007,FORD,EDGE,SEL Plus,SUV,automatic,2fmdk39c57ba60791,nc,42,95518,beige,—,santander consumer,8550,9800,Mon Jan 05 2015 01:30:00 GMT-0800 (PST),1/5/2015
2007,FORD,FUSION,SE,Sedan,automatic,3fahp07177r126868,mi,37,131361,black,black,advia credit union,3700,3400,Thu Jan 15 2015 01:30:00 GMT-0800 (PST),1/15/2015
2007,FORD,F-150,XL,Truck,automatic,1ftrf14w77na39482,pr,24,93857,red,gray,oriental bank,7175,2700,Thu Jan 08 2015 10:00:00 GMT-0800 (PST),1/8/2015
2007,FORD,TAURUS,SEL Fleet,Sedan,automatic,1fafp56u87a173577,ga,21,153843,beige,beige,capital one auto finance,1700,1400,Tue Jan 06 2015 01:30:00 GMT-0800 (PST),1/6/2015
2007,FORD,MUSTANG,Deluxe,Coupe,automatic,1zvht80n475363786,tx,19,119502,gray,black,capital one auto finance,5750,4900,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),1/8/2015
2007,FORD,FUSION,SEL,Sedan,automatic,3fahp08137r157825,in,42,102375,black,black,santander consumer,5500,5900,Thu Jan 08 2015 02:10:00 GMT-0800 (PST),1/8/2015
2007,FORD,FUSION,S,Sedan,automatic,3fahp06z87r134890,mi,5,86097,red,gray,kevins marysville auto sales inc,4025,6000,Thu Jan 08 2015 09:30:00 GMT-0800 (PST),1/8/2015
2007,FORD,FOCUS,ZX4 SE,Sedan,automatic,1fahp34n27w155328,mi,19,137797,beige,beige,erie community federal credit union,2575,1650,Thu Jan 22 2015 01:30:00 GMT-0800 (PST),1/22/2015
2006,FORD,F-350 SUPER DUTY,Lariat,Truck,automatic,1ftww32p76ea53665,tx,38,118247,white,gray,pm standley motorcars,13000,12000,Wed Jan 07 2015 10:20:00 GMT-0800 (PST),1/7/2015
