year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale_date,sale_month
2004,FORD,MUSTANG,Premium,Convertible,automatic,1fafp44684f134730,ca,35,122932,white,tan,quality acceptance,2850,1500,Thu Mar 05 2015 04:00:00 GMT-0800 (PST),2015-03-05,3
2004,FORD,MUSTANG,GT Deluxe,Convertible,manual,1fafp45x94f100478,sc,25,86294,gray,black,dab auto world & leasing,6150,6400,Thu Mar 05 2015 02:00:00 GMT-0800 (PST),2015-03-05,3
2003,FORD,THUNDERBIRD,Deluxe,Convertible,automatic,1fahp60a73y106516,va,37,63873,black,black,safford chrysler jeep dodge of fredericksburg,11600,10600,Thu Mar 05 2015 01:05:00 GMT-0800 (PST),2015-03-05,3
2003,FORD,MUSTANG,Premium,Convertible,automatic,1fafp44413f324141,nc,21,108819,white,tan,credit acceptance corp/vrs/southfield,2725,2700,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT),2015-03-09,3
2002,FORD,MUSTANG,Deluxe,Convertible,,1fafp44412f179990,va,19,100656,silver,gray,don beyer volvo subaru kia of alexandria,2950,3700,Thu Mar 05 2015 01:35:00 GMT-0800 (PST),2015-03-05,3
2000,FORD,MUSTANG,Base,Convertible,automatic,1fafp4445yf143874,nv,2,155219,red,—,titlemax of west craig rd. - nv 8,1800,1000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST),2015-03-05,3
2000,FORD,MUSTANG,Base,Convertible,automatic,1fafp4445yf297632,nc,19,165971,red,beige,crossroads nissan of wake forest,1575,2200,Mon Mar 09 2015 02:00:00 GMT-0700 (PDT),2015-03-09,3
1999,FORD,MUSTANG,Base,Convertible,automatic,1fafp4445xf222122,az,36,83338,white,tan,meridian remarketing,2550,3000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST),2015-03-05,3
1999,FORD,MUSTANG,GT,Convertible,automatic,1fafp45x8xf139244,ca,19,131082,red,beige,valley kia,2400,1100,Thu Mar 05 2015 04:00:00 GMT-0800 (PST),2015-03-05,3
2014,FORD,MUSTANG,GT,Convertible,automatic,1zvbp8ffxe5323252,nv,44,26093,white,black,budget rent a car/salt lake city,24400,24700,Fri Mar 06 2015 04:00:00 GMT-0800 (PST),2015-03-06,3
2014,FORD,MUSTANG,GT,Convertible,,1zvbp8ff7e5314413,qc,48,11185,white,black,ford motor company of canada,31300,32000,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT),2015-03-10,3
2014,FORD,MUSTANG,GT,Convertible,automatic,1zvbp8ff5e5323255,nv,42,28469,red,black,budget rent a car/salt lake city,24100,24700,Fri Mar 06 2015 04:00:00 GMT-0800 (PST),2015-03-06,3
2014,FORD,MUSTANG,GT,Convertible,automatic,1zvbp8ff1e5323253,nv,44,24063,red,black,budget rent a car/salt lake city,24700,24700,Fri Mar 06 2015 04:00:00 GMT-0800 (PST),2015-03-06,3
2014,FORD,MUSTANG,GT,Convertible,,1zvbp8ff9e5314381,qc,46,12748,silver,black,ford motor company of canada,31100,32000,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT),2015-03-10,3
2014,FORD,MUSTANG,GT,Convertible,automatic,1zvbp8ff3e5329118,nv,44,30085,black,black,budget rent a car/salt lake city,23900,24750,Fri Mar 06 2015 04:00:00 GMT-0800 (PST),2015-03-06,3
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em8e5224834,ca,39,30545,red,black,fleet link services inc,20200,17900,Thu Mar 05 2015 04:00:00 GMT-0800 (PST),2015-03-05,3
2013,FORD,MUSTANG,V6,Convertible,,1zvbp8em8d5203738,pa,41,61025,blue,black,northeast leasing,13800,14300,Fri Mar 06 2015 01:00:00 GMT-0800 (PST),2015-03-06,3
2013,FORD,MUSTANG,V6,Convertible,,1zvbp8em7d5260206,pa,43,66614,blue,gray,northeast leasing,13550,14000,Fri Mar 06 2015 01:00:00 GMT-0800 (PST),2015-03-06,3
2013,FORD,MUSTANG,V6,Convertible,,1zvbp8em3d5241975,pa,44,66931,white,black,northeast leasing,13550,13900,Fri Mar 06 2015 01:00:00 GMT-0800 (PST),2015-03-06,3
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em5d5237426,pa,47,60977,red,black,northeast leasing,13800,14300,Fri Mar 06 2015 01:00:00 GMT-0800 (PST),2015-03-06,3
2013,FORD,MUSTANG,GT Premium,Convertible,automatic,1zvbp8ff3d5219121,ca,36,25862,white,red,aaero sweet corporation,23700,27400,Thu Mar 05 2015 03:30:00 GMT-0800 (PST),2015-03-05,3
2005,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvft84n255219801,tx,19,121860,white,tan,select remarketing group llc/midwest title loans,5475,2000,Thu Mar 05 2015 04:00:00 GMT-0800 (PST),2015-03-05,3
2004,FORD,THUNDERBIRD,Premium,Convertible,,1fahp60a74y104931,pa,37,90774,burgundy,beige,adcock brothers inc,9850,9400,Fri Mar 06 2015 01:00:00 GMT-0800 (PST),2015-03-06,3
2011,FORD,MUSTANG,V6,Convertible,,1zvbp8em2b5115393,ga,36,80686,silver,gray,capital one auto finance,9800,12300,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),2015-03-10,3
