year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale date
2014,FORD,EDGE,Limited,SUV,automatic,2fmdk4kcxeba72190,mo,5,27225,black,black,avis budget group,25800,27000,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,EDGE,SEL,SUV,,2fmdk4jc4eba92033,on,48,11927,black,gray,ford motor company of canada,28800,29200,Tue Mar 03 2015 02:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,EDGE,SEL,SUV,,2fmdk4jc6eba86914,on,49,10677,white,gray,ford motor company of canada,28800,29600,Tue Mar 03 2015 02:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,ESCAPE,SE,SUV,automatic,1fmcu9gx4eub04222,nj,43,29441,white,gray,ford motor credit company llc,18450,18800,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2014,FORD,EDGE,SEL,SUV,,2fmdk4jc0eba86956,on,47,20381,silver,black,ford motor company of canada,28400,28300,Tue Mar 03 2015 02:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,EDGE,SEL,SUV,automatic,2fmdk4jc4eba72199,tn,43,23793,gray,gray,avis budget group,22900,21800,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,ESCAPE,SE,SUV,automatic,1fmcu9g93eub34359,tn,36,30526,—,gray,ars/avis budget group,19350,19300,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,ESCAPE,Titanium,SUV,automatic,1fmcu0j90euc39235,tx,41,23310,—,black,budget rac of memphis,21500,23200,Thu Mar 05 2015 02:30:00 GMT-0800 (PST),3/5/2015
2014,FORD,ESCAPE,Titanium,SUV,automatic,1fmcu9j9xeub66315,mo,44,33728,gray,gray,ars/avis budget group,22300,22000,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,ESCAPE,SE,SUV,automatic,1fmcu0gx2eub07146,tn,47,13151,—,gray,ford motor credit company llc,18250,18600,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,ESCAPE,Titanium,SUV,automatic,1fmcu9j99eua95012,mo,46,37520,red,tan,ars/avis budget group,21900,22500,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,EXPEDITION,Limited,SUV,automatic,1fmju2a52eef38803,ny,5,21784,black,black,ars/enterprise,37100,34500,Tue Mar 03 2015 01:50:00 GMT-0800 (PST),3/3/2015
2014,FORD,ESCAPE,SE,SUV,automatic,1fmcu0gx0eua04369,tn,45,18043,red,gray,ford motor credit company llc,17850,18400,Wed Mar 04 2015 02:00:00 GMT-0800 (PST),3/4/2015
2014,FORD,ESCAPE,S,SUV,automatic,1fmcu0f75eua98105,nj,37,25453,brown,gray,ford motor credit company llc,15350,14600,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2014,FORD,ESCAPE,SE,SUV,automatic,1fmcu0gx9eua26645,nj,19,21740,gray,gray,ford motor credit company llc,17550,14000,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2014,FORD,ESCAPE,Titanium,SUV,automatic,1fmcu0j90eub66223,tn,44,36569,—,black,ars/avis budget group,20100,20400,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,EXPLORER,Limited,SUV,automatic,1fm5k8f8xegb28302,tn,36,30593,—,black,ars/avis budget group,29300,28200,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,EXPLORER,Limited,SUV,automatic,1fm5k8f85egb28319,mo,49,29111,white,gray,ars/avis budget group,29600,30700,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,EXPLORER,Limited,SUV,automatic,1fm5k8f83egc59636,nj,46,17857,black,black,ars/enterprise,31800,33500,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2014,FORD,EXPLORER,Limited,SUV,automatic,1fm5k8f8xega14851,tn,3,38208,—,black,ars/avis budget group,27900,17400,Wed Mar 04 2015 02:00:00 GMT-0800 (PST),3/4/2015
2014,FORD,EXPLORER,Limited,SUV,automatic,1fm5k8f84egb75048,mo,41,41542,gray,black,ars/avis budget group,27300,26300,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,EXPLORER,Base,SUV,automatic,1fm5k7b88egb49908,md,48,19716,silver,gray,ford motor credit company llc,22100,22200,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),3/10/2015
2014,FORD,EXPLORER,Limited,SUV,automatic,1fm5k8f88egb39153,tn,38,40045,black,beige,ars/avis budget group,27500,27600,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,EXPLORER,Limited,SUV,automatic,1fm5k8f85ega92485,mo,37,41306,gray,gray,ars/avis budget group,27300,27300,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,EXPLORER,Limited,SUV,automatic,1fm5k8f8xegc59360,mo,45,20228,black,gray,ars/enterprise,31300,31600,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,EXPEDITION,EL Limited,SUV,automatic,1fmjk2a56eef56386,nj,45,16644,gray,black,ars/enterprise,39500,40000,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2014,FORD,EXPLORER,Limited,SUV,automatic,1fm5k8f85egb96653,mo,46,36263,white,tan,ars/avis budget group,28300,28600,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,F-150,XL,Truck,automatic,1ftnf1cf7ekd17960,nj,48,9562,white,gray,u-haul,17950,18700,Wed Mar 04 2015 01:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,F-150,XL,Truck,automatic,1ftnf1cf8ekd18714,nj,36,5411,white,gray,u-haul,18200,17500,Wed Mar 04 2015 01:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,F-150,Lariat,Truck,,1ftfw1et1eke99193,on,5,9383,white,black,ford motor company of canada  limited,40100,40200,Tue Mar 03 2015 02:00:00 GMT-0800 (PST),3/3/2015
2014,FORD,F-150,XL,Truck,automatic,1ftnf1cfxekd17967,nj,36,6260,white,gray,u-haul,18150,18800,Wed Mar 04 2015 01:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,F-150,XL,Truck,automatic,1ftnf1cf1ekd17968,nj,39,6832,white,gray,u-haul,18150,17900,Wed Mar 04 2015 01:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,F-150,XL,Truck,,1ftnf1cfxekd18715,nj,41,11032,white,gray,u-haul,17850,18400,Wed Mar 04 2015 01:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,F-150,XL,Truck,automatic,1ftnf1cf0ekd16438,nc,44,9777,white,gray,u-haul international,17950,18000,Tue Mar 03 2015 01:15:00 GMT-0800 (PST),3/3/2015
2014,FORD,EXPLORER,XLT,SUV,automatic,1fm5k7d84ega12400,tn,49,23685,red,black,ford motor credit company llc,27000,29100,Thu Mar 05 2015 03:00:00 GMT-0800 (PST),3/5/2015
2014,FORD,F-150,XLT,Truck,automatic,1ftew1cm6efa19410,tn,45,34482,—,gray,ars/avis budget group,23600,9700,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,F-150,XL,Truck,automatic,1ftnf1cf0ekd16441,nc,47,11829,white,gray,u-haul international,17800,17900,Tue Mar 03 2015 01:15:00 GMT-0800 (PST),3/3/2015
2014,FORD,F-150,XL,Truck,automatic,1ftnf1cf6ekd18713,nj,38,7100,white,gray,u-haul,18100,18600,Wed Mar 04 2015 01:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,F-150,XL,Truck,automatic,1ftnf1cf1ekd18716,nj,4,6109,white,gray,u-haul,18150,18500,Wed Mar 04 2015 01:30:00 GMT-0800 (PST),3/4/2015
2014,FORD,F-150,XLT,Truck,automatic,1ftfw1etxefc35687,nj,49,15460,blue,gray,ars/enterprise,27400,29700,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2014,FORD,F-150,XLT,Truck,automatic,1ftfw1ef9efc59988,tn,5,3126,white,gray,ford motor credit company llc,29200,33500,Wed Mar 04 2015 02:00:00 GMT-0800 (PST),3/4/2015
2014,FORD,F-150,XLT,Truck,automatic,1ftfw1et1efc81604,nj,45,3069,red,gray,ford motor credit company llc,28200,31800,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),3/4/2015
2014,FORD,F-150,XLT,Truck,automatic,1ftfx1et0ekd55731,oh,49,20865,red,gray,exceptional motorcar llc,23800,30000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST),3/3/2015
2014,FORD,F-250 SUPER DUTY,Lariat,Truck,automatic,1ft7w2bt4eea01968,tn,35,29785,—,brown,ford-lincoln dealer program,46200,47400,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),3/4/2015
