year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale date
2007,FORD,FOCUS,ZX3 S,Hatchback,manual,1fahp31n27w247284,fl,19,111783,white,black,fiserv/capital communications fcu,2275,1700,Thu Dec 18 2014 09:35:00 GMT-0800 (PST),12/18/2014
2007,FORD,FREESTYLE,Limited,Hatchback,automatic,1fmdk061x7ga32544,fl,,98827,red,beige,global auto group inc,4175,5000,Thu Dec 18 2014 10:50:00 GMT-0800 (PST),12/18/2014
2007,FORD,FUSION,SE,Sedan,automatic,3fahp07z47r168047,ca,31,100471,red,black,claremont toyota,4200,4400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,FOCUS,ZX5 SES,Hatchback,automatic,1fahp37n17w314027,mi,44,83251,black,black,dt credit corporation,4450,4100,Tue Dec 23 2014 09:30:00 GMT-0800 (PST),12/23/2014
2007,FORD,FUSION,SE,Sedan,automatic,3fahp07157r112242,nc,14,129237,beige,beige,dt credit corporation,3875,4400,Tue Dec 23 2014 09:30:00 GMT-0800 (PST),12/23/2014
2007,FORD,FUSION,SE,Sedan,automatic,3fahp07z47r220891,az,,102099,silver,gray,rollit motors incorporated,4150,4200,Thu Dec 18 2014 11:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,FIVE HUNDRED,SEL,Sedan,automatic,1fafp24117g109319,il,19,80354,beige,beige,wells fargo dealer services,4425,4700,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,F-150,XLT,Truck,,1ftpx14v07fa70157,pa,27,120085,gray,gray,wheel sport center inc,8950,7500,Fri Dec 19 2014 09:00:00 GMT-0800 (PST),12/19/2014
2007,FORD,FUSION,SE,Sedan,automatic,3fahp01127r193774,ny,35,90745,gray,black,wheels r us inc,5200,5300,Wed Dec 31 2014 09:30:00 GMT-0800 (PST),12/31/2014
2007,FORD,TAURUS,SEL Fleet,Sedan,automatic,1fafp56u27a152045,oh,19,91761,silver,black,santander consumer,3550,2050,Tue Dec 23 2014 12:00:00 GMT-0800 (PST),12/23/2014
2007,FORD,TAURUS,SE Fleet,Sedan,automatic,1fafp53u37a206795,nc,2,91249,gray,gray,united fcu,3450,3400,Tue Dec 23 2014 09:30:00 GMT-0800 (PST),12/23/2014
2007,FORD,MUSTANG,Deluxe,Coupe,automatic,1zvht80n175216177,ga,26,132093,blue,gray,wells fargo dealer services,5375,6500,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,FUSION,SE,Sedan,automatic,3fahp07z67r181172,ny,,103251,gray,gray,mjn,3950,4000,Thu Dec 18 2014 09:45:00 GMT-0800 (PST),12/18/2014
2007,FORD,FUSION,SE,Sedan,automatic,3fahp01137r165014,ny,,75171,black,gray,browns ford of amsterdam inc,6250,6100,Thu Dec 18 2014 09:45:00 GMT-0800 (PST),12/18/2014
2007,FORD,F-250 SUPER DUTY,Lariat,Truck,automatic,1ftsw21p17ea27641,mn,27,121768,white,gray,select lane,14300,13900,Thu Dec 18 2014 10:30:00 GMT-0800 (PST),12/18/2014
2007,FORD,FOCUS,ZX4 ST,Sedan,manual,1fafp38z27w291169,fl,,73230,silver,red,ford of ocala,4100,4000,Thu Dec 18 2014 09:50:00 GMT-0800 (PST),12/18/2014
2007,FORD,TAURUS,SE Fleet,Sedan,automatic,1fafp53u07a176820,ca,,103344,silver,—,arrowhead auto group inc,2975,3400,Thu Dec 18 2014 12:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,TAURUS,SE Fleet,Sedan,automatic,1fafp53u67a175025,tx,,81677,burgundy,gray,rlb investments,3600,4400,Thu Dec 18 2014 11:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,TAURUS,SE Fleet,Sedan,automatic,1fafp53u67a126066,va,2,129309,turquoise,gray,dt inventory,2225,600,Thu Dec 18 2014 08:50:00 GMT-0800 (PST),12/18/2014
2007,FORD,F-150,XLT,Truck,,1ftpx14v27kd24958,tx,12,179476,white,gray,united acceptance,5450,3700,Thu Dec 18 2014 11:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,TAURUS,SEL Fleet,Sedan,automatic,1fafp56u47a140706,co,28,88172,white,gray,wells fargo dealer services,3650,4000,Tue Dec 23 2014 11:45:00 GMT-0800 (PST),12/23/2014
2007,FORD,MUSTANG,Deluxe,Coupe,automatic,1zvft80n075281741,nc,24,163634,silver,gray,regional acceptance corporation / greenville,3850,3200,Mon Dec 22 2014 09:30:00 GMT-0800 (PST),12/22/2014
2007,FORD,FUSION,S,Sedan,manual,3fahp06z97r185590,mn,,100575,silver,tan,longs auto place inc,4000,4200,Thu Dec 18 2014 10:45:00 GMT-0800 (PST),12/18/2014
2007,FORD,FOCUS,ZX3 S,Hatchback,manual,1fafp31n97w290883,fl,1,109217,red,gray,auto trakk llc,2775,1500,Thu Dec 18 2014 13:25:00 GMT-0800 (PST),12/18/2014
2007,FORD,FOCUS,ZX4 SE,Sedan,automatic,1fahp34n97w197852,mi,,158494,red,black,cueter chrysler jeep dodge llc,2075,1350,Thu Dec 18 2014 09:30:00 GMT-0800 (PST),12/18/2014
2007,FORD,TAURUS,SE Fleet,Sedan,automatic,1fafp53u47a209219,wi,19,95791,burgundy,gray,napletons river oaks honda,3325,1400,Tue Dec 23 2014 10:00:00 GMT-0800 (PST),12/23/2014
2007,FORD,FIVE HUNDRED,SEL,Sedan,automatic,1fahp24197g163881,ny,,94025,black,gray,fuccillo hyundai,4125,4900,Thu Dec 18 2014 09:15:00 GMT-0800 (PST),12/18/2014
2007,FORD,RANGER,SPORT,Truck,,1ftyr44u27pa08728,az,,95101,gray,—,chapman ford llc,6150,5300,Thu Dec 18 2014 11:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,TAURUS,SE Fleet,Sedan,automatic,1fafp53u57a125281,tx,,147525,burgundy,—,k g s,1700,2000,Fri Dec 19 2014 10:00:00 GMT-0800 (PST),12/19/2014
2007,FORD,FUSION,S,Sedan,automatic,3fahp06z87r102733,ny,,111173,blue,gray,fuccillo kia,3425,2750,Thu Dec 18 2014 09:15:00 GMT-0800 (PST),12/18/2014
2007,FORD,FUSION,SEL,Sedan,automatic,3fahp08107r143431,nj,,83896,blue,—,scott london auto sales of nj,6050,6600,Wed Dec 17 2014 09:30:00 GMT-0800 (PST),12/17/2014
2007,FORD,FOCUS,ZX4 SE,Sedan,automatic,1fahp34n97w198855,mi,,114389,black,gray,dean sellers ford,3075,3200,Thu Dec 18 2014 09:30:00 GMT-0800 (PST),12/18/2014
2007,FORD,RANGER,XL,Truck,,1ftyr11u37pa06117,ca,26,123693,white,gray,northwestern chrys/j/d/ge,4225,4000,Tue Dec 23 2014 12:30:00 GMT-0800 (PST),12/23/2014
2007,FORD,FOCUS,ZX3 S,Hatchback,automatic,1fafp31n07w271316,il,,126334,black,—,team toyota,2000,1700,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,F-150,STX,Truck,automatic,1ftrf14wx7kb12782,il,26,107822,blue,gray,wells fargo dealer services,7600,7100,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,RANGER,XL,Truck,automatic,1ftyr15e37pa11451,tx,,52674,yellow,—,ken camp's auto world inc,12900,8800,Mon Dec 22 2014 10:00:00 GMT-0800 (PST),12/22/2014
2007,FORD,FREESTYLE,Limited,Hatchback,automatic,1fmdk03157ga23366,mi,,92034,black,black,macs auto & equipment sales inc,5000,4500,Thu Dec 18 2014 09:30:00 GMT-0800 (PST),12/18/2014
2007,FORD,FUSION,SE,Sedan,automatic,3fahp07z27r272469,il,,136760,red,—,grossinger autoplex inc,3125,3800,Thu Dec 18 2014 14:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,FOCUS,ZX4 SE,Sedan,automatic,1fahp34n77w282771,tx,,118660,red,brown,sunland park chrysler dodge jeep ram,2975,2800,Thu Dec 18 2014 12:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,F-250 SUPER DUTY,XLT,Truck,automatic,1ftsx21557eb44120,tx,19,100161,white,gray,remarketing by ge/ge capital solutions,9850,9000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST),12/18/2014
2007,FORD,FIVE HUNDRED,SEL,Sedan,automatic,1fahp24197g124191,mi,2,118834,blue,gray,dt credit corporation,3500,2700,Thu Dec 18 2014 09:30:00 GMT-0800 (PST),12/18/2014
2007,FORD,TAURUS,SEL Fleet,Sedan,automatic,1fafp56u37a160056,va,2,109235,silver,gray,credit acceptance corp/vrs/southfield,2925,350,Thu Dec 18 2014 11:50:00 GMT-0800 (PST),12/18/2014
2014,FORD,FUSION,SE,Sedan,automatic,3fa6p0hd1er208852,il,48,42694,black,tan,ars/avis budget group,15400,15400,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),12/18/2014
2014,FORD,FUSION,SE,Sedan,automatic,3fa6p0h73er192308,mi,5,72,green,gray,ford motor credit company llc,16750,16000,Tue Dec 23 2014 09:00:00 GMT-0800 (PST),12/23/2014
2014,FORD,FUSION,SE,Sedan,automatic,1fa6p0h75e5399608,il,28,26028,white,black,avis budget group,15200,14600,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),12/18/2014
2014,FORD,FUSION,SE,Sedan,automatic,1fa6p0hdxe5396953,mi,5,343,gray,tan,ford motor credit company llc,17750,17800,Tue Dec 23 2014 09:00:00 GMT-0800 (PST),12/23/2014
2014,FORD,FUSION,SE,Sedan,automatic,3fa6p0hdxer297577,mi,46,7890,black,black,ford motor credit company llc,17350,18700,Tue Dec 23 2014 09:00:00 GMT-0800 (PST),12/23/2014
2014,FORD,FOCUS,Titanium,Hatchback,automatic,1fadp3n2xel171553,tn,43,29235,red,gray,budget rent a car/atlanta,14700,15500,Wed Dec 17 2014 10:00:00 GMT-0800 (PST),12/17/2014
2014,FORD,FUSION,Titanium,Sedan,,3fa6p0k96er323340,va,,18743,silver,gray,avis rac system/pv holding corp,20100,13700,Thu Dec 18 2014 11:50:00 GMT-0800 (PST),12/18/2014
2014,FORD,FUSION,SE,Sedan,automatic,3fa6p0h93er308253,il,31,20367,white,beige,avis budget group,16550,15800,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),12/18/2014
2014,FORD,FUSION,Titanium,Sedan,automatic,3fa6p0k94er320436,il,36,23601,gray,black,avis budget group,19650,18000,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),12/18/2014
2014,FORD,FUSION,SE,Sedan,automatic,3fa6p0h91er245542,tn,39,28253,—,tan,ford motor credit company,16100,16500,Tue Dec 23 2014 10:30:00 GMT-0800 (PST),12/23/2014
2014,FORD,FUSION,SE,Sedan,automatic,1fa6p0hd6e5370866,mi,5,4045,black,black,ford motor credit company llc,17550,17800,Tue Dec 23 2014 09:00:00 GMT-0800 (PST),12/23/2014
2014,FORD,FUSION,SE,Sedan,,3fa6p0h90er320215,tn,,26803,,,avis rac/nashville,16150,11500,Tue Dec 23 2014 10:00:00 GMT-0800 (PST),12/23/2014
2014,FORD,FOCUS,Titanium,Sedan,automatic,1fadp3j28el222750,wi,27,13138,gray,black,remarketing by ge/nextgear capital,14750,14000,Wed Dec 17 2014 10:00:00 GMT-0800 (PST),12/17/2014
2014,FORD,FUSION,SE,Sedan,automatic,3fa6p0h77er206470,il,2,43057,red,gray,ford motor credit company llc,14250,11500,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),12/18/2014
2014,FORD,FUSION,SE,Sedan,automatic,3fa6p0h96er320252,mo,43,18669,white,tan,avis budget group,16650,17500,Tue Dec 23 2014 11:00:00 GMT-0800 (PST),12/23/2014
