year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,sale_date,sale_month
2005,FORD,THUNDERBIRD,Deluxe,Convertible,automatic,1fahp60a55y107005,ga,37,52222,gold,beige,hayes chrysler dodge jeep of gainesville inc,12650,10500,Tue Feb 24 2015 05:10:00 GMT-0800 (PST),2015-02-24,2
2004,FORD,THUNDERBIRD,Premium,Convertible,automatic,1fahp60a54y109206,az,38,47306,black,beige,onesource/southwest remarketing,14800,13800,Thu Feb 19 2015 03:00:00 GMT-0800 (PST),2015-02-19,2
2002,FORD,MUSTANG,GT Deluxe,Convertible,,1fafp45x62f105666,sc,19,104549,blue,black,jim hudson lexus augusta,3775,4500,Mon Feb 23 2015 02:00:00 GMT-0800 (PST),2015-02-23,2
2002,FORD,MUSTANG,Deluxe,Convertible,automatic,1fafp44412f149582,fl,19,77708,silver,—,credit acceptance corp/vrs/southfield,3100,2700,Thu Feb 19 2015 17:00:00 GMT-0800 (PST),2015-02-19,2
2000,FORD,MUSTANG,Base,Convertible,automatic,1fafp4444yf251371,fl,19,159364,white,beige,mercedes benz of tampa,1750,2300,Thu Feb 19 2015 16:20:00 GMT-0800 (PST),2015-02-19,2
2014,FORD,MUSTANG,GT,Convertible,,1zvbp8ff1e5314374,qc,46,9370,black,black,ford motor company of canada,29500,31500,Tue Feb 24 2015 02:00:00 GMT-0800 (PST),2015-02-24,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em4e5224829,ca,41,40151,blue,black,fleet link services inc,17950,17400,Thu Feb 19 2015 03:30:00 GMT-0800 (PST),2015-02-19,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em6e5205859,nv,34,56649,silver,black,the hertz corporation,13950,13500,Fri Feb 20 2015 04:00:00 GMT-0800 (PST),2015-02-20,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em9e5323162,fl,46,14043,—,gray,ford-lincoln dealer program,22500,21600,Thu Feb 19 2015 01:00:00 GMT-0800 (PST),2015-02-19,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8emxe5224821,ca,41,39506,white,black,fleet link services inc,18050,17400,Thu Feb 19 2015 11:30:00 GMT-0800 (PST),2015-02-19,2
2012,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em4c5264518,fl,48,34841,white,white,ford motor credit company llc,14200,16200,Fri Feb 27 2015 01:00:00 GMT-0800 (PST),2015-02-27,2
2010,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8en7a5167738,tn,42,69832,red,tan,sullivan auto group llc,9875,11800,Wed Feb 25 2015 02:30:00 GMT-0800 (PST),2015-02-25,2
2009,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvht84n195105190,ga,25,63618,gray,gray,ford motor credit company llc,7800,9100,Tue Feb 24 2015 01:30:00 GMT-0800 (PST),2015-02-24,2
2002,FORD,MUSTANG,GT Deluxe,Convertible,manual,1fafp45x52f154745,pa,39,75196,silver,black,jersey motors inc,4825,5600,Fri Feb 27 2015 01:00:00 GMT-0800 (PST),2015-02-27,2
2002,FORD,THUNDERBIRD,Premium,Convertible,automatic,1fahp60ax2y116018,nv,47,33445,red,black,vegas motorcars inc,15550,16800,Fri Feb 20 2015 03:45:00 GMT-0800 (PST),2015-02-20,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em7e5262524,tn,46,40802,white,gray,ars/avis budget group,16100,18600,Wed Feb 25 2015 02:00:00 GMT-0800 (PST),2015-02-25,2
2014,FORD,MUSTANG,GT Premium,Convertible,,1zvbp8ff0e5229882,pa,42,11928,silver,black,r hollenshead auto sales inc,30200,25500,Fri Feb 20 2015 09:00:00 GMT-0800 (PST),2015-02-20,2
2014,FORD,MUSTANG,GT,Convertible,,1zvbp8ffxe5314373,qc,5,6003,black,black,ford motor company of canada,29800,32200,Tue Feb 24 2015 05:00:00 GMT-0800 (PST),2015-02-24,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em2e5266688,fl,46,29522,white,black,enterprise vehicle exchange/ars/coconut creek,17950,18000,Fri Feb 27 2015 01:00:00 GMT-0800 (PST),2015-02-27,2
2014,FORD,MUSTANG,V6,Convertible,,1zvbp8em2e5263399,fl,42,27439,black,black,enterprise vehicle exchange/ars/coconut creek,20400,19600,Fri Feb 27 2015 01:00:00 GMT-0800 (PST),2015-02-27,2
2005,FORD,MUSTANG,GT Deluxe,Convertible,manual,1zvht85h755222064,nj,28,90704,red,black,autolenders liquidation center,8375,8200,Wed Feb 25 2015 01:30:00 GMT-0800 (PST),2015-02-25,2
2002,FORD,THUNDERBIRD,Premium,Convertible,automatic,1fahp60a22y108673,nv,37,103130,turquoise,black,lexus of henderson,7725,6100,Fri Feb 20 2015 04:35:00 GMT-0800 (PST),2015-02-20,2
1999,FORD,MUSTANG,Base,Convertible,automatic,1fafp444xxf167666,pa,35,70115,—,tan,r hollenshead auto sales inc,2650,4100,Fri Feb 27 2015 01:00:00 GMT-0800 (PST),2015-02-27,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em6e5306948,fl,39,20409,red,black,enterprise veh exchange/rental,21400,20700,Tue Feb 24 2015 01:30:00 GMT-0800 (PST),2015-02-24,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em7e5227207,tx,44,58626,gray,—,dtg operations inc,13750,15600,Thu Feb 26 2015 04:00:00 GMT-0800 (PST),2015-02-26,2
2014,FORD,MUSTANG,GT Premium,Convertible,automatic,1zvbp8ff0e5300675,pa,43,8052,red,black,r hollenshead auto sales inc,30900,27600,Fri Feb 20 2015 09:00:00 GMT-0800 (PST),2015-02-20,2
2014,FORD,MUSTANG,GT Premium,Convertible,automatic,1zvbp8ff4e5234437,pa,45,11814,—,black,r hollenshead auto sales inc,30200,28100,Fri Feb 20 2015 09:00:00 GMT-0800 (PST),2015-02-20,2
2013,FORD,MUSTANG,V6,Convertible,,1zvbp8em6d5233692,nj,31,61485,white,beige,the hertz corporation,13350,13900,Wed Feb 25 2015 01:30:00 GMT-0800 (PST),2015-02-25,2
2013,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em8d5229353,nj,37,55476,black,brown,the hertz corporation,13650,14500,Wed Feb 25 2015 01:30:00 GMT-0800 (PST),2015-02-25,2
2012,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em3c5254966,fl,45,43044,—,black,ford motor credit company llc pd,14900,16900,Thu Feb 26 2015 01:00:00 GMT-0800 (PST),2015-02-26,2
2007,FORD,MUSTANG,Deluxe,Convertible,manual,1zvft84n775218629,fl,28,72041,gray,black,autonation ford fort lauderdale,6750,7000,Tue Feb 24 2015 01:15:00 GMT-0800 (PST),2015-02-24,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em2e5210881,fl,35,45997,—,black,ars/avis budget group,16800,17900,Thu Feb 26 2015 01:00:00 GMT-0800 (PST),2015-02-26,2
2012,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em0c5254472,ca,29,64477,silver,black,exeter finance corp,11450,9800,Thu Feb 26 2015 04:00:00 GMT-0800 (PST),2015-02-26,2
2010,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8en0a5177995,fl,19,80584,silver,black,santander consumer,10600,8900,Wed Feb 25 2015 01:05:00 GMT-0800 (PST),2015-02-25,2
2008,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvht84n285117556,tx,34,103861,blue,black,rally motor credit,5700,4700,Wed Feb 25 2015 02:05:00 GMT-0800 (PST),2015-02-25,2
2006,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvft84n665211069,pa,43,104394,gray,gray,c & b motors,6075,5800,Tue Feb 24 2015 01:30:00 GMT-0800 (PST),2015-02-24,2
2004,FORD,MUSTANG,Deluxe,Convertible,automatic,1fafp444x4f131326,mn,19,108442,white,tan,capital one auto finance,3175,3900,Wed Feb 25 2015 02:30:00 GMT-0800 (PST),2015-02-25,2
1997,FORD,MUSTANG,Base,Convertible,automatic,1falp4445vf194516,fl,1,196716,black,beige,autonation toyota fort myers,575,500,Tue Feb 24 2015 10:00:00 GMT-0800 (PST),2015-02-24,2
1997,FORD,MUSTANG,Base,Convertible,automatic,1falp4448vf197930,fl,34,64949,white,beige,starling chevrolet buick gmc,1375,1700,Tue Feb 24 2015 10:00:00 GMT-0800 (PST),2015-02-24,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em1e5285541,ca,1,16392,red,black,enterprise vehicle exchange / tra / rental / tulsa,22100,12500,Tue Feb 24 2015 04:00:00 GMT-0800 (PST),2015-02-24,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em4e5238357,fl,36,39600,red,black,ez rent a car inc,16250,16200,Tue Feb 24 2015 01:00:00 GMT-0800 (PST),2015-02-24,2
2014,FORD,MUSTANG,V6,Convertible,,1zvbp8em0e5275681,ca,3,18473,gray,gray,enterprise vehicle exchange / tra / rental / tulsa,21700,11000,Tue Feb 24 2015 04:00:00 GMT-0800 (PST),2015-02-24,2
2014,FORD,MUSTANG,V6,Convertible,automatic,1zvbp8em3e5238298,fl,33,39939,black,black,ez rent a car inc,16200,16500,Tue Feb 24 2015 01:00:00 GMT-0800 (PST),2015-02-24,2
2005,FORD,MUSTANG,Deluxe,Convertible,automatic,1zvft84n355248904,wi,31,118171,green,black,arlington hgts chry dod jeep,5500,5800,Wed Feb 25 2015 02:00:00 GMT-0800 (PST),2015-02-25,2
